,latitude,longitude,depth,mag,new_label
25,7.7599,123.867,600.71,6.0,1
27,7.7248,124.6104,378.13,4.3,1
31,7.2874,124.5131,402.16,4.1,1
44,7.3828,123.8666,606.67,4.4,1
52,7.1039,124.1287,562.15,4.3,1
53,7.0553,124.3107,485.15,4.0,1
54,7.0938,124.7189,372.1,4.5,1
70,6.725,124.02600000000001,591.2,5.4,1
77,7.693,123.89200000000001,605.7,4.5,1
78,7.367000000000001,123.97,583.7,3.9,1
79,6.723,123.94200000000001,575.8,4.3,1
80,6.834,124.311,475.9,4.3,1
81,7.358,123.92200000000001,615.4,4.2,1
87,6.683,124.18299999999999,510.3,4.5,1
88,6.784,123.954,600.3,4.0,1
95,6.944,123.944,600.0,4.7,1
96,6.709,123.876,600.0,4.4,1
97,6.763999999999999,123.961,576.3,5.2,1
98,6.812,123.88,583.5,5.9,1
99,7.062,124.351,464.8,4.2,1
104,7.994,124.67,425.3,4.3,1
108,6.983,124.406,397.3,4.0,1
151,6.78,123.917,500.0,4.4,1
153,6.933,123.92299999999999,600.0,4.8,1
154,6.867999999999999,123.93299999999999,600.0,4.2,1
155,6.752999999999999,124.20200000000001,500.0,4.2,1
159,7.976,124.404,422.0,4.9,1
169,7.365,123.91,606.3,4.7,1
174,6.684,123.915,576.7,4.7,1
177,7.441,124.294,475.1,4.3,1
179,7.034,124.212,488.1,4.7,1
182,7.388999999999999,124.74700000000001,380.9,4.5,1
187,7.132999999999999,124.228,610.2,4.5,1
204,6.807,123.863,554.0,5.4,1
209,6.8839999999999995,124.04899999999999,563.0,4.5,1
211,6.899,124.001,589.0,5.4,1
231,8.017000000000001,124.075,623.0,5.6,1
